id,province,city_regency,district,sub_district,postal_code
1,DKI Jakarta,Kepulauan Seribu,Kepulauan Seribu Selatan,Pulau Tidung,14540
2,DKI Jakarta,Kepulauan Seribu,Kepulauan Seribu Selatan,Pulau Pari,14520
3,DKI Jakarta,Kepulauan Seribu,Kepulauan Seribu Selatan,Pulau Untung Jawa,14510
4,DKI Jakarta,Kepulauan Seribu,Kepulauan Seribu Utara,Pulau Panggang,14530
5,DKI Jakarta,Kepulauan Seribu,Kepulauan Seribu Utara,Pulau Kelapa,14540
6,DKI Jakarta,Kepulauan Seribu,Kepulauan Seribu Utara,Pulau Harapan,14540
7,DKI Jakarta,Jakarta Selatan,Jagakarsa,Cipedak,12630
8,DKI Jakarta,Jakarta Selatan,Jagakarsa,Srengseng Sawah,12640
9,DKI Jakarta,Jakarta Selatan,Jagakarsa,Ciganjur,12630
10,DKI Jakarta,Jakarta Selatan,Jagakarsa,Jagakarsa,12620
11,DKI Jakarta,Jakarta Selatan,Jagakarsa,Lenteng Agung,12630
12,DKI Jakarta,Jakarta Selatan,Pasar Minggu,Cilandak Timur,12560
13,DKI Jakarta,Jakarta Selatan,Pasar Minggu,Ragunan,12550
14,DKI Jakarta,Jakarta Selatan,Pasar Minggu,Kebagusan,12520
15,DKI Jakarta,Jakarta Selatan,Pasar Minggu,Tanjung Barat,12530
16,DKI Jakarta,Jakarta Selatan,Pasar Minggu,Pasar Minggu,12520
17,DKI Jakarta,Jakarta Selatan,Pasar Minggu,Jati Padang,12540
18,DKI Jakarta,Jakarta Selatan,Pasar Minggu,Pejaten Barat,12510
19,DKI Jakarta,Jakarta Selatan,Cilandak,Lebak Bulus,12440
20,DKI Jakarta,Jakarta Selatan,Cilandak,Pondok Labu,12450
21,DKI Jakarta,Jakarta Selatan,Cilandak,Cilandak Barat,12430
22,DKI Jakarta,Jakarta Selatan,Cilandak,Gandaria Selatan,12420
23,DKI Jakarta,Jakarta Selatan,Cilandak,Cipete Selatan,12410
24,DKI Jakarta,Jakarta Selatan,Pesanggrahan,Bintaro,12330
25,DKI Jakarta,Jakarta Selatan,Pesanggrahan,Pesanggrahan,12320
26,DKI Jakarta,Jakarta Selatan,Pesanggrahan,Ulujami,12250
27,DKI Jakarta,Jakarta Selatan,Pesanggrahan,Petukangan Selatan,12270
28,DKI Jakarta,Jakarta Selatan,Pesanggrahan,Petukangan Utara,12260
29,DKI Jakarta,Jakarta Selatan,Kebayoran Lama,Pondok Pinang,12310
30,DKI Jakarta,Jakarta Selatan,Kebayoran Lama,Kebayoran Lama Selatan,12240
31,DKI Jakarta,Jakarta Selatan,Kebayoran Lama,Kebayoran Lama Utara,12240
32,DKI Jakarta,Jakarta Selatan,Kebayoran Lama,Cipulir,12230
33,DKI Jakarta,Jakarta Selatan,Kebayoran Lama,Grogol Selatan,12220
34,DKI Jakarta,Jakarta Selatan,Kebayoran Lama,Grogol Utara,12210
35,DKI Jakarta,Jakarta Selatan,Kebayoran Baru,Gandaria Utara,12140
36,DKI Jakarta,Jakarta Selatan,Kebayoran Baru,Cipete Utara,12140
37,DKI Jakarta,Jakarta Selatan,Kebayoran Baru,Pulo,12160
38,DKI Jakarta,Jakarta Selatan,Kebayoran Baru,Petogogan,12170
39,DKI Jakarta,Jakarta Selatan,Kebayoran Baru,Melawai,12160
40,DKI Jakarta,Jakarta Selatan,Kebayoran Baru,Kramat Pela,12130
41,DKI Jakarta,Jakarta Selatan,Kebayoran Baru,Gunung,12120
42,DKI Jakarta,Jakarta Selatan,Kebayoran Baru,Selong,12110
43,DKI Jakarta,Jakarta Selatan,Kebayoran Baru,Rawa Barat,12180
44,DKI Jakarta,Jakarta Selatan,Kebayoran Baru,Senayan,12190
45,DKI Jakarta,Jakarta Selatan,Mampang Prapatan,Bangka,12730
46,DKI Jakarta,Jakarta Selatan,Mampang Prapatan,Pela Mampang,12720
47,DKI Jakarta,Jakarta Selatan,Mampang Prapatan,Tegal Parang,12790
48,DKI Jakarta,Jakarta Selatan,Mampang Prapatan,Mampang Prapatan,12790
49,DKI Jakarta,Jakarta Selatan,Mampang Prapatan,Kuningan Barat,12710
50,DKI Jakarta,Jakarta Selatan,Pancoran,Kalibata,12740
51,DKI Jakarta,Jakarta Selatan,Pancoran,Rawajati,12750
52,DKI Jakarta,Jakarta Selatan,Pancoran,Duren Tiga,12760
53,DKI Jakarta,Jakarta Selatan,Pancoran,Pancoran,12780
54,DKI Jakarta,Jakarta Selatan,Pancoran,Pengadegan,12770
55,DKI Jakarta,Jakarta Selatan,Pancoran,Cikoko,12770
56,DKI Jakarta,Jakarta Selatan,Tebet,Menteng Dalam,12870
57,DKI Jakarta,Jakarta Selatan,Tebet,Tebet Barat,12810
58,DKI Jakarta,Jakarta Selatan,Tebet,Tebet Timur,12820
59,DKI Jakarta,Jakarta Selatan,Tebet,Kebon Baru,12830
60,DKI Jakarta,Jakarta Selatan,Tebet,Bukit Duri,12840
61,DKI Jakarta,Jakarta Selatan,Tebet,Manggarai Selatan,12860
62,DKI Jakarta,Jakarta Selatan,Tebet,Manggarai,12850
63,DKI Jakarta,Jakarta Selatan,Setia Budi,Karet Semanggi,12930
64,DKI Jakarta,Jakarta Selatan,Setia Budi,Kuningan Timur,12950
65,DKI Jakarta,Jakarta Selatan,Setia Budi,Karet Kuningan,12940
66,DKI Jakarta,Jakarta Selatan,Setia Budi,Karet,12920
67,DKI Jakarta,Jakarta Selatan,Setia Budi,Menteng Atas,12960
68,DKI Jakarta,Jakarta Selatan,Setia Budi,Pasar Manggis,12970
69,DKI Jakarta,Jakarta Selatan,Setia Budi,Guntur,12980
70,DKI Jakarta,Jakarta Selatan,Setia Budi,Setia Budi,12910
71,DKI Jakarta,Jakarta Timur,Pasar Rebo,Pekayon,13710
72,DKI Jakarta,Jakarta Timur,Pasar Rebo,Kalisari,13790
73,DKI Jakarta,Jakarta Timur,Pasar Rebo,Baru,13780
74,DKI Jakarta,Jakarta Timur,Pasar Rebo,Cijantung,13770
75,DKI Jakarta,Jakarta Timur,Pasar Rebo,Gedong,13760
76,DKI Jakarta,Jakarta Timur,Ciracas,Cibubur,13720
77,DKI Jakarta,Jakarta Timur,Ciracas,Kelapa Dua Wetan,13730
78,DKI Jakarta,Jakarta Timur,Ciracas,Ciracas,13740
79,DKI Jakarta,Jakarta Timur,Ciracas,Susukan,13750
80,DKI Jakarta,Jakarta Timur,Ciracas,Rambutan,13830
81,DKI Jakarta,Jakarta Timur,Cipayung,Pondok Ranggon,13860
82,DKI Jakarta,Jakarta Timur,Cipayung,Cilangkap,13870
83,DKI Jakarta,Jakarta Timur,Cipayung,Munjul,13850
84,DKI Jakarta,Jakarta Timur,Cipayung,Cipayung,13840
85,DKI Jakarta,Jakarta Timur,Cipayung,Setu,13880
86,DKI Jakarta,Jakarta Timur,Cipayung,Bambu Apus,13890
87,DKI Jakarta,Jakarta Timur,Cipayung,Ceger,13820
88,DKI Jakarta,Jakarta Timur,Cipayung,Lubang Buaya,13810
89,DKI Jakarta,Jakarta Timur,Makasar,Pinang Ranti,13560
653,Jawa Barat,Depok,Cinere,Cinere,16514
90,DKI Jakarta,Jakarta Timur,Makasar,Makasar,13570
91,DKI Jakarta,Jakarta Timur,Makasar,Kebon Pala,13650
92,DKI Jakarta,Jakarta Timur,Makasar,Halim Perdana Kusumah,13610
93,DKI Jakarta,Jakarta Timur,Makasar,Cipinang Melayu,13620
94,DKI Jakarta,Jakarta Timur,Kramat Jati,Bale Kambang,13530
95,DKI Jakarta,Jakarta Timur,Kramat Jati,Batu Ampar,13520
96,DKI Jakarta,Jakarta Timur,Kramat Jati,Kampung Tengah,13540
97,DKI Jakarta,Jakarta Timur,Kramat Jati,Dukuh,13550
98,DKI Jakarta,Jakarta Timur,Kramat Jati,Kramat Jati,13510
99,DKI Jakarta,Jakarta Timur,Kramat Jati,Cililitan,13640
100,DKI Jakarta,Jakarta Timur,Kramat Jati,Cawang,13630
101,DKI Jakarta,Jakarta Timur,Jatinegara,Bidara Cina,13330
102,DKI Jakarta,Jakarta Timur,Jatinegara,Cipinang Cempedak,13340
103,DKI Jakarta,Jakarta Timur,Jatinegara,Cipinang Besar Selatan,13410
104,DKI Jakarta,Jakarta Timur,Jatinegara,Cipinang Muara,13420
105,DKI Jakarta,Jakarta Timur,Jatinegara,Cipinang Besar Utara,13410
106,DKI Jakarta,Jakarta Timur,Jatinegara,Rawa Bunga,13350
107,DKI Jakarta,Jakarta Timur,Jatinegara,Bali Mester,13310
108,DKI Jakarta,Jakarta Timur,Jatinegara,Kampung Melayu,13320
109,DKI Jakarta,Jakarta Timur,Duren Sawit,Duren Sawit,13440
110,DKI Jakarta,Jakarta Timur,Duren Sawit,Pondok Kelapa,13450
111,DKI Jakarta,Jakarta Timur,Duren Sawit,Pondok Kopi,13460
112,DKI Jakarta,Jakarta Timur,Duren Sawit,Malaka Jaya,13460
113,DKI Jakarta,Jakarta Timur,Duren Sawit,Malaka Sari,13460
114,DKI Jakarta,Jakarta Timur,Duren Sawit,Klender,13470
115,DKI Jakarta,Jakarta Timur,Cakung,Jatinegara,13930
116,DKI Jakarta,Jakarta Timur,Cakung,Penggilingan,13940
117,DKI Jakarta,Jakarta Timur,Cakung,Pulo Gebang,13950
118,DKI Jakarta,Jakarta Timur,Cakung,Ujung Menteng,13960
119,DKI Jakarta,Jakarta Timur,Cakung,Cakung Timur,13910
120,DKI Jakarta,Jakarta Timur,Cakung,Cakung Barat,13910
121,DKI Jakarta,Jakarta Timur,Cakung,Rawa Terate,13920
122,DKI Jakarta,Jakarta Timur,Pulo Gadung,Pisangan Timur,13230
123,DKI Jakarta,Jakarta Timur,Pulo Gadung,Cipinang,13250
124,DKI Jakarta,Jakarta Timur,Pulo Gadung,Jatinegara Kaum,13230
125,DKI Jakarta,Jakarta Timur,Pulo Gadung,Jati,13220
126,DKI Jakarta,Jakarta Timur,Pulo Gadung,Rawamangun,13220
127,DKI Jakarta,Jakarta Timur,Pulo Gadung,Kayu Putih,13210
128,DKI Jakarta,Jakarta Timur,Pulo Gadung,Pulo Gadung,13260
129,DKI Jakarta,Jakarta Timur,Matraman,Kebon Manggis,13150
130,DKI Jakarta,Jakarta Timur,Matraman,Pal Meriam,13140
131,DKI Jakarta,Jakarta Timur,Matraman,Pisang Baru,13110
132,DKI Jakarta,Jakarta Timur,Matraman,Kayu Manis,13130
133,DKI Jakarta,Jakarta Timur,Matraman,Utan Kayu Selatan,13120
134,DKI Jakarta,Jakarta Timur,Matraman,Utan Kayu Utara,13120
135,DKI Jakarta,Jakarta Pusat,Tanah Abang,Gelora,10270
136,DKI Jakarta,Jakarta Pusat,Tanah Abang,Kampung Bali,10250
137,DKI Jakarta,Jakarta Pusat,Tanah Abang,Bendungan Hilir,10210
138,DKI Jakarta,Jakarta Pusat,Tanah Abang,Karet Tengsin,10220
139,DKI Jakarta,Jakarta Pusat,Tanah Abang,Kebon Melati,10230
140,DKI Jakarta,Jakarta Pusat,Tanah Abang,Petamburan,10260
141,DKI Jakarta,Jakarta Pusat,Tanah Abang,Kebon Kacang,10250
142,DKI Jakarta,Jakarta Pusat,Menteng,Menteng,10310
143,DKI Jakarta,Jakarta Pusat,Menteng,Pegangsaan,10320
144,DKI Jakarta,Jakarta Pusat,Menteng,Cikini,10330
145,DKI Jakarta,Jakarta Pusat,Menteng,Gondangdia,10350
146,DKI Jakarta,Jakarta Pusat,Menteng,Kebon Sirih,10340
147,DKI Jakarta,Jakarta Pusat,Senen,Kenari,10430
148,DKI Jakarta,Jakarta Pusat,Senen,Paseban,10440
149,DKI Jakarta,Jakarta Pusat,Senen,Kramat,10450
150,DKI Jakarta,Jakarta Pusat,Senen,Kwitang,10420
151,DKI Jakarta,Jakarta Pusat,Senen,Senen,10410
152,DKI Jakarta,Jakarta Pusat,Senen,Bungur,10460
153,DKI Jakarta,Jakarta Pusat,Johar Baru,Johar Baru,10560
154,DKI Jakarta,Jakarta Pusat,Johar Baru,Kampung Rawa,10550
155,DKI Jakarta,Jakarta Pusat,Johar Baru,Tanah Tinggi,10540
156,DKI Jakarta,Jakarta Pusat,Johar Baru,Galur,10530
157,DKI Jakarta,Jakarta Pusat,Cempaka Putih,Rawa Sari,10570
158,DKI Jakarta,Jakarta Pusat,Cempaka Putih,Cempaka Putih Timur,10510
159,DKI Jakarta,Jakarta Pusat,Cempaka Putih,Cempaka Putih Barat,10520
160,DKI Jakarta,Jakarta Pusat,Kemayoran,Harapan Mulya,10640
161,DKI Jakarta,Jakarta Pusat,Kemayoran,Cempaka Baru,10640
162,DKI Jakarta,Jakarta Pusat,Kemayoran,Sumur Batu,10640
163,DKI Jakarta,Jakarta Pusat,Kemayoran,Serdang,10650
164,DKI Jakarta,Jakarta Pusat,Kemayoran,Utan Panjang,10650
165,DKI Jakarta,Jakarta Pusat,Kemayoran,Kebon Kosong,10630
166,DKI Jakarta,Jakarta Pusat,Kemayoran,Kemayoran,10630
167,DKI Jakarta,Jakarta Pusat,Kemayoran,Gunung Sahari Selatan,10610
168,DKI Jakarta,Jakarta Pusat,Sawah Besar,Pasar Baru,10710
169,DKI Jakarta,Jakarta Pusat,Sawah Besar,Gunung Sahari Utara,10720
170,DKI Jakarta,Jakarta Pusat,Sawah Besar,Kartini,10750
171,DKI Jakarta,Jakarta Pusat,Sawah Besar,Karang Anyar,10740
172,DKI Jakarta,Jakarta Pusat,Sawah Besar,Mangga Dua Selatan,10730
173,DKI Jakarta,Jakarta Pusat,Gambir,Cideng,10150
174,DKI Jakarta,Jakarta Pusat,Gambir,Petojo Selatan,10150
175,DKI Jakarta,Jakarta Pusat,Gambir,Gambir,10110
176,DKI Jakarta,Jakarta Pusat,Gambir,Kebon Kelapa,10120
177,DKI Jakarta,Jakarta Pusat,Gambir,Petojo Utara,10130
178,DKI Jakarta,Jakarta Barat,Kembangan,Joglo,11640
179,DKI Jakarta,Jakarta Barat,Kembangan,Srengseng,11630
180,DKI Jakarta,Jakarta Barat,Kembangan,Meruya Selatan,11650
181,DKI Jakarta,Jakarta Barat,Kembangan,Meruya Utara,11620
182,DKI Jakarta,Jakarta Barat,Kembangan,Kembangan Selatan,11610
183,DKI Jakarta,Jakarta Barat,Kembangan,Kembangan Utara,11610
184,DKI Jakarta,Jakarta Barat,Kebon Jeruk,Sukabumi Selatan,11560
185,DKI Jakarta,Jakarta Barat,Kebon Jeruk,Sukabumi Utara,11540
186,DKI Jakarta,Jakarta Barat,Kebon Jeruk,Kelapa Dua,11550
187,DKI Jakarta,Jakarta Barat,Kebon Jeruk,Kebon Jeruk,11530
188,DKI Jakarta,Jakarta Barat,Kebon Jeruk,Duri Kepa,11510
189,DKI Jakarta,Jakarta Barat,Kebon Jeruk,Kedoya Selatan,11520
190,DKI Jakarta,Jakarta Barat,Kebon Jeruk,Kedoya Utara,11540
191,DKI Jakarta,Jakarta Barat,Palmerah,Palmerah,11480
192,DKI Jakarta,Jakarta Barat,Palmerah,Slipi,11410
193,DKI Jakarta,Jakarta Barat,Palmerah,Kemanggisan,11480
194,DKI Jakarta,Jakarta Barat,Palmerah,Kota Bambu Utara,11420
195,DKI Jakarta,Jakarta Barat,Palmerah,Kota Bambu Selatan,11420
196,DKI Jakarta,Jakarta Barat,Palmerah,Jati Pulo,11430
197,DKI Jakarta,Jakarta Barat,Grogol Petamburan,Tanjung Duren Utara,11470
198,DKI Jakarta,Jakarta Barat,Grogol Petamburan,Tanjung Duren Selatan,11470
199,DKI Jakarta,Jakarta Barat,Grogol Petamburan,Tomang,11440
200,DKI Jakarta,Jakarta Barat,Grogol Petamburan,Grogol,11450
201,DKI Jakarta,Jakarta Barat,Grogol Petamburan,Jelambar,11460
202,DKI Jakarta,Jakarta Barat,Grogol Petamburan,Wijaya Kusuma,11460
203,DKI Jakarta,Jakarta Barat,Grogol Petamburan,Jelambar Baru,11460
204,DKI Jakarta,Jakarta Barat,Tambora,Kali Anyar,11310
205,DKI Jakarta,Jakarta Barat,Tambora,Duri Selatan,11270
206,DKI Jakarta,Jakarta Barat,Tambora,Tanah Sereal,11210
207,DKI Jakarta,Jakarta Barat,Tambora,Duri Utara,11270
208,DKI Jakarta,Jakarta Barat,Tambora,Krendang,11260
209,DKI Jakarta,Jakarta Barat,Tambora,Jembatan Besi,11320
210,DKI Jakarta,Jakarta Barat,Tambora,Angke,11330
211,DKI Jakarta,Jakarta Barat,Tambora,Jembatan Lima,11250
212,DKI Jakarta,Jakarta Barat,Tambora,Tambora,11220
213,DKI Jakarta,Jakarta Barat,Tambora,Roa Malaka,11230
214,DKI Jakarta,Jakarta Barat,Tambora,Pekojan,11240
215,DKI Jakarta,Jakarta Barat,Taman Sari,Krukut,11140
216,DKI Jakarta,Jakarta Barat,Taman Sari,Maphar,11160
217,DKI Jakarta,Jakarta Barat,Taman Sari,Taman Sari,11150
218,DKI Jakarta,Jakarta Barat,Taman Sari,Tangki,11170
219,DKI Jakarta,Jakarta Barat,Taman Sari,Mangga Besar,11140
220,DKI Jakarta,Jakarta Barat,Taman Sari,Keagungan,11130
221,DKI Jakarta,Jakarta Barat,Taman Sari,Glodok,11120
222,DKI Jakarta,Jakarta Barat,Taman Sari,Pinangsia,11110
223,DKI Jakarta,Jakarta Barat,Cengkareng,Duri Kosambi,11750
224,DKI Jakarta,Jakarta Barat,Cengkareng,Rawa Buaya,11740
225,DKI Jakarta,Jakarta Barat,Cengkareng,Kedaung Kali Angke,11710
226,DKI Jakarta,Jakarta Barat,Cengkareng,Kapuk,11720
227,DKI Jakarta,Jakarta Barat,Cengkareng,Cengkareng Timur,11730
228,DKI Jakarta,Jakarta Barat,Cengkareng,Cengkareng Barat,11730
229,DKI Jakarta,Jakarta Barat,Kalideres,Semanan,11850
230,DKI Jakarta,Jakarta Barat,Kalideres,Kalideres,11840
231,DKI Jakarta,Jakarta Barat,Kalideres,Pegadungan,11830
232,DKI Jakarta,Jakarta Barat,Kalideres,Tegal Alur,11820
233,DKI Jakarta,Jakarta Barat,Kalideres,Kamal,11810
234,DKI Jakarta,Jakarta Utara,Penjaringan,Kamal Muara,14470
235,DKI Jakarta,Jakarta Utara,Penjaringan,Pejagalan,14450
236,DKI Jakarta,Jakarta Utara,Penjaringan,Penjaringan,14440
237,DKI Jakarta,Jakarta Utara,Penjaringan,Pluit,14450
238,DKI Jakarta,Jakarta Utara,Pademangan,Pademangan Barat,14420
239,DKI Jakarta,Jakarta Utara,Pademangan,Pademangan Timur,14420
240,DKI Jakarta,Jakarta Utara,Penjaringan,Ancol,14430
241,DKI Jakarta,Jakarta Utara,Tanjung Priok,Sunter Agung,14350
242,DKI Jakarta,Jakarta Utara,Tanjung Priok,Sunter Jaya,14360
243,DKI Jakarta,Jakarta Utara,Tanjung Priok,Papanggo,14340
244,DKI Jakarta,Jakarta Utara,Tanjung Priok,Warakas,14370
245,DKI Jakarta,Jakarta Utara,Tanjung Priok,Sungai Bambu,14330
246,DKI Jakarta,Jakarta Utara,Tanjung Priok,Kebon Bawang,14320
247,DKI Jakarta,Jakarta Utara,Tanjung Priok,Tanjung Priok,14310
248,DKI Jakarta,Jakarta Utara,Koja,Rawabadak Selatan,14230
249,DKI Jakarta,Jakarta Utara,Koja,Tugu Selatan,14260
250,DKI Jakarta,Jakarta Utara,Koja,Tugu Utara,14260
251,DKI Jakarta,Jakarta Utara,Koja,Lagoa,14270
252,DKI Jakarta,Jakarta Utara,Koja,Rawabadak Utara,14230
253,DKI Jakarta,Jakarta Utara,Koja,Koja,14210
254,DKI Jakarta,Jakarta Utara,Kelapa Gading,Kelapa Gading Barat,14240
255,DKI Jakarta,Jakarta Utara,Kelapa Gading,Kelapa Gading Timur,14240
256,DKI Jakarta,Jakarta Utara,Kelapa Gading,Pegangsaan Dua,14250
257,DKI Jakarta,Jakarta Utara,Cilingcing,Suka Pura,14140
258,DKI Jakarta,Jakarta Utara,Cilingcing,Rorotan,14140
259,DKI Jakarta,Jakarta Utara,Cilingcing,Marunda,14150
260,DKI Jakarta,Jakarta Utara,Cilingcing,Cilingcing,14120
261,DKI Jakarta,Jakarta Utara,Cilingcing,Semper Timur,14130
262,DKI Jakarta,Jakarta Utara,Cilingcing,Semper Barat,14130
263,DKI Jakarta,Jakarta Utara,Cilingcing,Kali Baru,14110
264,Jawa Barat,Bogor - Kota,Bogor Selatan,Mulyaharja,16135
265,Jawa Barat,Bogor - Kota,Bogor Selatan,Pamoyanan,16136
266,Jawa Barat,Bogor - Kota,Bogor Selatan,Ranggamekar,16136
267,Jawa Barat,Bogor - Kota,Bogor Selatan,Genteng,16137
268,Jawa Barat,Bogor - Kota,Bogor Selatan,Kertamaya,16138
269,Jawa Barat,Bogor - Kota,Bogor Selatan,Rancamaya,16139
270,Jawa Barat,Bogor - Kota,Bogor Selatan,Bojongkerta,16139
271,Jawa Barat,Bogor - Kota,Bogor Selatan,Harjasari,16138
272,Jawa Barat,Bogor - Kota,Bogor Selatan,Muarasari,16137
273,Jawa Barat,Bogor - Kota,Bogor Selatan,Pakuan,16134
654,Jawa Barat,Depok,Cinere,Gandul,16512
274,Jawa Barat,Bogor - Kota,Bogor Selatan,Cipaku,16133
275,Jawa Barat,Bogor - Kota,Bogor Selatan,Lawang Gintung,16134
276,Jawa Barat,Bogor - Kota,Bogor Selatan,Batutulis,16133
277,Jawa Barat,Bogor - Kota,Bogor Selatan,Bondongan,16131
278,Jawa Barat,Bogor - Kota,Bogor Selatan,Empang,16132
279,Jawa Barat,Bogor - Kota,Bogor Selatan,Cikaret,16132
280,Jawa Barat,Bogor - Kota,Bogor Timur,Sindangsari,16146
281,Jawa Barat,Bogor - Kota,Bogor Timur,Sindangrasa,16145
282,Jawa Barat,Bogor - Kota,Bogor Timur,Tajur,16141
283,Jawa Barat,Bogor - Kota,Bogor Timur,Katulampa,16144
284,Jawa Barat,Bogor - Kota,Bogor Timur,Baranangsiang,16143
285,Jawa Barat,Bogor - Kota,Bogor Timur,Sukasari,16142
286,Jawa Barat,Bogor - Kota,Bogor Utara,Bantarjati,16153
287,Jawa Barat,Bogor - Kota,Bogor Utara,Tegal Gundil,16152
288,Jawa Barat,Bogor - Kota,Bogor Utara,Tanah Baru,16154
289,Jawa Barat,Bogor - Kota,Bogor Utara,Cimahpar,16155
290,Jawa Barat,Bogor - Kota,Bogor Utara,Ciluar,16156
291,Jawa Barat,Bogor - Kota,Bogor Utara,Cibuluh,16151
292,Jawa Barat,Bogor - Kota,Bogor Utara,Kedunghalang,16158
293,Jawa Barat,Bogor - Kota,Bogor Utara,Ciparigi,16157
294,Jawa Barat,Bogor - Kota,Bogor Tengah,Paledang,16122
295,Jawa Barat,Bogor - Kota,Bogor Tengah,Gudang,16123
296,Jawa Barat,Bogor - Kota,Bogor Tengah,Babakan Pasar,16126
297,Jawa Barat,Bogor - Kota,Bogor Tengah,Tegal Lega,16143
298,Jawa Barat,Bogor - Kota,Bogor Tengah,Babakan,16128
299,Jawa Barat,Bogor - Kota,Bogor Tengah,Sempur,16129
300,Jawa Barat,Bogor - Kota,Bogor Tengah,Pabaton,16121
301,Jawa Barat,Bogor - Kota,Bogor Tengah,Cibogor,16124
302,Jawa Barat,Bogor - Kota,Bogor Tengah,Panaragan,16125
303,Jawa Barat,Bogor - Kota,Bogor Tengah,Kebon Kelapa,16125
304,Jawa Barat,Bogor - Kota,Bogor Tengah,Ciwaringin,16124
305,Jawa Barat,Bogor - Kota,Bogor Barat,Pasir Mulya,16118
306,Jawa Barat,Bogor - Kota,Bogor Barat,Pasir Kuda,16119
307,Jawa Barat,Bogor - Kota,Bogor Barat,Pasir Jaya,16119
308,Jawa Barat,Bogor - Kota,Bogor Barat,Gunungbatu,16118
309,Jawa Barat,Bogor - Kota,Bogor Barat,Loji,16117
310,Jawa Barat,Bogor - Kota,Bogor Barat,Menteng,16111
311,Jawa Barat,Bogor - Kota,Bogor Barat,Cilendek Timur,16112
312,Jawa Barat,Bogor - Kota,Bogor Barat,Cilendek Barat,16112
313,Jawa Barat,Bogor - Kota,Bogor Barat,Sindangbarang,16117
314,Jawa Barat,Bogor - Kota,Bogor Barat,Margajaya,16116
315,Jawa Barat,Bogor - Kota,Bogor Barat,Balungbang Jaya,16116
316,Jawa Barat,Bogor - Kota,Bogor Barat,Situ Gede,16115
317,Jawa Barat,Bogor - Kota,Bogor Barat,Bubulak,16115
318,Jawa Barat,Bogor - Kota,Bogor Barat,Semplak,16114
319,Jawa Barat,Bogor - Kota,Bogor Barat,Curug Mekar,16113
320,Jawa Barat,Bogor - Kota,Bogor Barat,Curug,16113
321,Jawa Barat,Bogor - Kota,Tanah Sereal,Kedung Waringin,16164
322,Jawa Barat,Bogor - Kota,Tanah Sereal,Kedung Jaya,16164
323,Jawa Barat,Bogor - Kota,Tanah Sereal,Kebon Pedes,16162
324,Jawa Barat,Bogor - Kota,Tanah Sereal,Tanah Sareal,16161
325,Jawa Barat,Bogor - Kota,Tanah Sereal,Kedung Badak,16164
326,Jawa Barat,Bogor - Kota,Tanah Sereal,Sukaresmi,16165
327,Jawa Barat,Bogor - Kota,Tanah Sereal,Sukadamai,16165
328,Jawa Barat,Bogor - Kota,Tanah Sereal,Cibadak,16166
329,Jawa Barat,Bogor - Kota,Tanah Sereal,Kayumanis,16169
330,Jawa Barat,Bogor - Kota,Tanah Sereal,Mekarwangi,16168
331,Jawa Barat,Bogor - Kota,Tanah Sereal,Kencana,16167
332,Jawa Barat,Sukabumi - Kota,Baros,Sudajaya Hilir,43161
333,Jawa Barat,Sukabumi - Kota,Baros,Jayamekar,43166
334,Jawa Barat,Sukabumi - Kota,Baros,Jayaraksa,43166
335,Jawa Barat,Sukabumi - Kota,Baros,Baros,43161
336,Jawa Barat,Sukabumi - Kota,Lembursitu,Lembursitu,43169
337,Jawa Barat,Sukabumi - Kota,Lembursitu,Situmekar,43169
338,Jawa Barat,Sukabumi - Kota,Lembursitu,Cipanengah,43134
339,Jawa Barat,Sukabumi - Kota,Lembursitu,Cikundul,43168
340,Jawa Barat,Sukabumi - Kota,Lembursitu,Sindangsari,43167
341,Jawa Barat,Sukabumi - Kota,Cibeureum,Sindangpalay,43162
342,Jawa Barat,Sukabumi - Kota,Cibeureum,Limusnunggal,43165
343,Jawa Barat,Sukabumi - Kota,Cibeureum,Babakan,43142
344,Jawa Barat,Sukabumi - Kota,Cibeureum,Cibeureum Hilir,43165
345,Jawa Barat,Sukabumi - Kota,Citamiang,Cikondang,43142
346,Jawa Barat,Sukabumi - Kota,Citamiang,Gedong Panjang,43144
347,Jawa Barat,Sukabumi - Kota,Citamiang,Citamiang,43143
348,Jawa Barat,Sukabumi - Kota,Citamiang,Nanggeleng,43145
349,Jawa Barat,Sukabumi - Kota,Citamiang,Tipar,43141
350,Jawa Barat,Sukabumi - Kota,Warudoyong,Dayeuhluhur,43134
351,Jawa Barat,Sukabumi - Kota,Warudoyong,Warudoyong,43133
352,Jawa Barat,Sukabumi - Kota,Warudoyong,Nyomplong,43131
353,Jawa Barat,Sukabumi - Kota,Warudoyong,Benteng,43132
354,Jawa Barat,Sukabumi - Kota,Warudoyong,Sukakarya,43135
355,Jawa Barat,Sukabumi - Kota,Gunung Puyuh,Karang Tengah,43121
356,Jawa Barat,Sukabumi - Kota,Gunung Puyuh,Gunung Puyuh,43123
357,Jawa Barat,Sukabumi - Kota,Gunung Puyuh,Sriwidari,43121
358,Jawa Barat,Sukabumi - Kota,Gunung Puyuh,Karamat,43122
359,Jawa Barat,Sukabumi - Kota,Cikole,Gunung Parang,43111
360,Jawa Barat,Sukabumi - Kota,Cikole,Kebonjati,43112
361,Jawa Barat,Sukabumi - Kota,Cikole,Cikole,43113
362,Jawa Barat,Sukabumi - Kota,Cikole,Selabatu,43114
363,Jawa Barat,Sukabumi - Kota,Cikole,Cisarua,43115
